,full_link
155,https://ekstrabladet.dk/sex_og_samliv/michael-mistede-kaeresten-i-swingerklubben/9893912
156,https://ekstrabladet.dk/nyheder/politik/radikal-skandale-partitop-blev-advaret/8919973
157,https://ekstrabladet.dk/underholdning/dkkendte/blomsterberg-derfor-har-vi-lukket-butikken/6077119
158,https://ekstrabladet.dk/underholdning/filmogtv/tv/kageeventyr-giver-ikke-klejner-i-kassen/5797214
159,https://ekstrabladet.dk/nationen/storebaelt-bro-en-gigantisk-pengemaskine/4204703
160,https://ekstrabladet.dk/nationen/425.000-i-loen-svaert/9789702
161,https://ekstrabladet.dk/biler/faar-du-heller-ikke-skiftet-her-er-de-bedste-helaarsdaek/6315835
162,https://ekstrabladet.dk/biler/maa-vi-komme-med-paa-stationen-saa-laekre-er-de-nye-politibiler-i-schweiz/7085083
163,https://ekstrabladet.dk/biler/politiet-snuppede-bilist-med-91-kmt-ved-skolevej-vi-kommer-snart-igen/6994060
164,https://ekstrabladet.dk/biler/tyske-myndigheder-faa-snydesoftwaren-fjernet-eller-vi-klipper-pladerne/7270956
165,https://ekstrabladet.dk/forbrug/Teknologi/henrik-blev-snydt-af-nyt-trick-paa-facebook-troede-jeg-havde-sikret-mig/6912494
166,https://ekstrabladet.dk/nationen/fusk-energistyrelse-advarer/9412536
167,https://ekstrabladet.dk/underholdning/filmogtv/tv/efter-drabs-afsloering-bage-micki-faar-troest-og-stoette/5778861
168,https://ekstrabladet.dk/nyheder/politik/danmark-og-oestersoelande-vil-syvdoble-stroem-fra-havvind/9404510
169,https://ekstrabladet.dk/nyheder/samfund/haard-kritik-af-kendt-hotel/9906415
170,https://ekstrabladet.dk/biler/yippee-ki-yay-nu-kan-die-hard-stjernens-vilde-pickup-blive-din/7401778
171,https://ekstrabladet.dk/underholdning/dkkendte/knas-med-kaerligheden-smidt-ud/9516968
172,https://ekstrabladet.dk/biler/tesla-udvider-vil-bygge-elektrisk-firehjulstraekker-og-koere-paa-solenergi/6212272
173,https://ekstrabladet.dk/underholdning/udlandkendte/britney-spears-er-officielt-fri-vaergemaal-skal-ophoere-helt/8981401
174,https://ekstrabladet.dk/biler/hver-tredje-dansker-helt-okay-at-svindle-med-denne-forsikring/7060380
175,https://ekstrabladet.dk/nyheder/politik/danskpolitik/lyssky-fonde-og-klubber-her-er-partiernes-hemmelige-pengetanke/9277601
176,https://ekstrabladet.dk/nationen/tatovoer-afvist-med-144.000-kroner-ikke-noget-for-nordea/8187336
177,https://ekstrabladet.dk/biler/tyske-bilfabrikker-lover-at-koebe-dieselbilen-tilbage-hvis-den-forbydes/7104276
178,https://ekstrabladet.dk/biler/derfor-skal-du-bede-vaerkstederne-overholde-reglerne/7004212
179,https://ekstrabladet.dk/biler/raekkevidde-paa-over-500-km-volkswagens-rendyrkede-elbil/7626485
180,https://ekstrabladet.dk/sport/anden_sport/ishockey/vm-skandale-topscorer-sendt-hjem-efter-brydekamp/6653030
181,https://ekstrabladet.dk/biler/ni-byer-har-indfoert-dieselforbud-nu-rammes-den-foerste-tyske-motorvej/7403338
182,https://ekstrabladet.dk/nationen/22.000-briter-bygger-nyt-a-kraftvaerk/8934029
183,https://ekstrabladet.dk/biler/tyv-tog-datters-pc-fra-bil-nu-hylder-carl-politihunden-argo-og-dens-foerer/6983427
184,https://ekstrabladet.dk/biler/toer-du-koere-uden-foerer-californien-vil-slippe-de-selvkoerende-biler-loes/7110382
185,https://ekstrabladet.dk/nyheder/politik/afsloering-ansatte-flygtet-fra-k-profil-nu-bliver-hun-skrottet/9783891
186,https://ekstrabladet.dk/underholdning/dkkendte/bjerrehuus-jeg-ville-elske-en-homoseksuel-soen/5435226
187,https://ekstrabladet.dk/nationen/derfor-folk-rejser-ikke-til-syrien-for-at-holde-ferie-men-for-at-hjaelpe-familien/7332827
188,https://ekstrabladet.dk/biler/nu-er-aarets-bil-i-danmark-fundet-det-er-en-vellykket-lille-familiebil/6938876
189,https://ekstrabladet.dk/biler/bilgigant-siger-farvel-til-benzinbilen/6938715
190,https://ekstrabladet.dk/nyheder/politik/danskpolitik/nu-er-det-slut-influencer-skal-forlade-danmark/9770369
191,https://ekstrabladet.dk/nyheder/samfund/sigurds-koekkenchef-smidt-ud-af-danmark-paa-grund-af-teknisk-fejl/9142878
